,Unnamed: 0,source,postcode,house_is,property_subtype,price,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,swimming_pool_has,region,building_state_agg,price_m_by_postcode,latitude,longitude,facades_number
136,609,6,6940,True,APARTMENT_BLOCK,325000.0,5.0,196.0,False,False,True,True,40.0,False,0.0,321.0,True,W,good,62847.78,50.35,5.46,0.0
137,626,6,4820,True,APARTMENT_BLOCK,269000.0,7.0,267.0,True,False,False,False,0.0,False,0.0,90.0,False,W,to_renovate,45751.09,50.61,5.85,0.0
138,631,6,4040,True,APARTMENT_BLOCK,225000.0,5.0,212.0,True,False,False,False,0.0,True,179.0,236.0,False,W,to_renovate,109076.0,50.67,5.64,0.0
139,641,6,2650,True,APARTMENT_BLOCK,700000.0,1.0,308.0,True,False,False,False,0.0,False,0.0,104.0,False,F,good,171494.01,51.16,4.44,0.0
140,648,6,1030,True,APARTMENT_BLOCK,295000.0,2.0,160.0,False,False,False,True,20.0,False,0.0,0.0,False,B,to_renovate,175825.22,50.87,4.37,0.0
141,651,6,1070,True,APARTMENT_BLOCK,475000.0,8.0,450.0,True,False,False,True,0.0,False,0.0,179.0,False,B,good,138887.74,50.84,4.31,0.0
142,657,6,5000,True,APARTMENT_BLOCK,299000.0,2.0,180.0,False,False,False,False,0.0,False,0.0,265.0,False,W,renovated,151615.67,50.46,4.85,0.0
143,661,6,4650,True,APARTMENT_BLOCK,295000.0,6.0,280.0,True,False,False,False,0.0,False,0.0,138.0,False,W,good,91355.63,50.64,5.79,0.0
144,663,6,7500,True,APARTMENT_BLOCK,139000.0,0.0,100.0,True,False,False,False,0.0,False,0.0,0.0,False,W,to_renovate,127234.19,50.61,3.39,0.0
145,666,6,4000,True,APARTMENT_BLOCK,299000.0,3.0,227.0,True,False,False,True,0.0,False,0.0,0.0,False,W,to_renovate,120694.32,50.65,5.57,0.0
146,667,6,4900,True,APARTMENT_BLOCK,545000.0,3.0,171.0,False,False,True,False,0.0,False,0.0,0.0,False,W,good,143193.98,50.49,5.86,0.0
147,671,6,1040,True,APARTMENT_BLOCK,1549000.0,8.0,420.0,True,False,False,True,12.0,False,0.0,230.0,False,B,good,209908.71,50.84,4.39,0.0
148,676,6,4800,True,APARTMENT_BLOCK,265000.0,3.0,401.0,True,False,False,True,44.0,False,0.0,150.0,False,W,to_renovate,119708.89,50.59,5.86,0.0
149,678,6,4000,True,APARTMENT_BLOCK,305000.0,6.0,154.0,True,True,False,True,8.0,True,42.0,100.0,False,W,to_renovate,120694.32,50.65,5.57,0.0
150,682,6,4800,True,APARTMENT_BLOCK,2450000.0,71.0,2540.0,True,False,False,False,0.0,False,0.0,2945.0,False,W,good,119708.89,50.59,5.86,0.0
151,688,6,6000,True,APARTMENT_BLOCK,114000.0,1.0,160.0,True,False,False,False,0.0,False,0.0,39.0,False,W,good,88085.67,50.42,4.45,0.0
152,690,6,1090,True,APARTMENT_BLOCK,455000.0,3.0,216.0,True,False,True,True,20.0,False,0.0,85.0,False,B,good,151906.67,50.88,4.33,0.0
153,691,6,3500,True,APARTMENT_BLOCK,1000000.0,4.0,344.0,False,False,False,False,0.0,False,0.0,190.0,False,F,good,176264.4,50.93,5.34,0.0
154,727,6,4800,True,APARTMENT_BLOCK,155000.0,6.0,201.0,True,False,False,False,0.0,True,120.0,194.0,False,W,to_renovate,119708.89,50.59,5.86,0.0
155,733,6,1180,True,APARTMENT_BLOCK,890000.0,0.0,295.0,False,False,False,False,0.0,False,0.0,151.0,False,B,renovated,235984.43,50.8,4.34,0.0
156,739,6,6000,True,APARTMENT_BLOCK,220000.0,5.0,200.0,True,False,False,True,0.0,False,0.0,375.0,False,W,good,88085.67,50.42,4.45,0.0
157,743,6,1080,True,APARTMENT_BLOCK,640000.0,7.0,240.0,True,False,False,True,0.0,False,0.0,131.0,False,B,good,155348.19,50.85,4.32,0.0
158,744,6,5000,True,APARTMENT_BLOCK,645000.0,9.0,170.0,False,True,False,False,0.0,False,0.0,1.0,False,W,renovated,151615.67,50.46,4.85,0.0
159,747,6,4900,True,APARTMENT_BLOCK,144500.0,3.0,154.0,True,False,False,False,0.0,False,0.0,70.0,False,W,to_renovate,143193.98,50.49,5.86,0.0
160,760,6,1060,True,APARTMENT_BLOCK,395000.0,4.0,240.0,True,False,False,True,0.0,False,0.0,0.0,False,B,to_renovate,182463.35,50.83,4.35,0.0
